Courts & Greens,"3615 Gilmore Ave # A,  Bakersfield,  CA  93308",(661) 321-0000,http://www.courtsandgreens.com,Info@courtsandgreens.com
Sport Court,"Napa,  CA  94558",(707) 226-3070,http://www.sportcourtofnortherncalifornia.com,none
Ferandell Tennis Courts,"2120 Jimmy Durante Blvd Ste 102,  Del Mar,  CA  92014",(858) 350-3444,http://www.ferandelltenniscourts.com,manager@ferandelltenniscourts.com
California Court Builders,"73426 Broken Arrow Trl,  Palm Desert,  CA  92260",(760) 341-0472,none,none
Shotmaster,"24876 Apple St,  Newhall,  CA  91321",(661) 260-1510,http://www.shotmaster.net,contactus@shotmaster.net
Hydrocourt USA Inc,"75712 Easy St,  Palm Desert,  CA  92211",(760) 568-0088,http://www.hydrocourt.com,none
Backyard Fun,"2050 Duane Ave,  Santa Clara,  CA  95054",(408) 588-1601,http://www.buildingbackyardfun.com,Fun@BuildingBackyardFun.com
Taylor Tennis Courts Inc.,,(888) 393-7540,http://www.taylortenniscourts.net,ttc4me99@aol.com
Buddy's All Stars,"3216 W Valhalla Dr,  Burbank,  CA  91505",(818) 846-8805,http://buddysallstars.com,info@buddysyallstars.net
Mountain West Basketball Championships,"1700 Montgomery St,  San Francisco,  CA  94111",(415) 391-2744,none,none
Big West Conference,"2 Corporate Park,  Irvine,  CA  92606",(949) 261-2525,http://www.bigwest.org,mhenke@calpoly.edu
Next Faze Works,"5752 Muldrow Rd,  Sacramento,  CA  95841",(916) 398-0809,http://calebjohnsonumkc31.wix.com/nextfaze,none
UBA,"24425 Woolsey Canyon Rd Spc 32,  Canoga Park,  CA  91304",(818) 912-2458,http://universalbasketballacademy.com,universalbasketballacademy@gmail.com
Ch Court Tech,"9580 Upland St,  Spring Valley,  CA  91977",(619) 462-3426,http://www.chcourt.com,none
West Coast Conference,"1111 Bayhill Dr Ste 405,  San Bruno,  CA  94066",(888) 234-2334,http://www.wccsports.com,mbrickhouse@westcoast.org
Hoop Blessings Elite Trainiing,"1151 4th Ave,  Chula Vista,  CA  91911",(619) 214-5029,none,none
Game Time Basketball Camps,,(805) 729-5539,http://gametimebasketballcamps.com,coachgil@gametimebasketballcamps.com
Color-Crafters Inc.,"PO Box 6691,  Incline Village,  NV  89450",(775) 831-0388,none,none
Harold Smith & Son Inc.,"800 Crane Ave,  Saint Helena,  CA  94574",(707) 200-6417,http://www.haroldsmithandsoninc.com,bob@hsandson.com
Brady Brown Construction Inc,"1835 A South Centre City Parkway #502,  Escondido,  CA  92025",(858) 437-9029,http://www.bbctenniscourts.com,brady@bbctenniscourts.com
Basketball Bound Inc,"1563 Eddington Pl,  San Jose,  CA  95129",(408) 255-7443,http://basketballbound.weebly.com,bbound@sbcglobal.net
Norcal Njb,"85 Saratoga Ave Ste 111,  Santa Clara,  CA  95051",(408) 260-0100,http://www.siliconvalleynjb.com,referee-doc-submit@siliconvalleynjb.com
Big Fly,"6102 Avenida Encinas,  Carlsbad,  CA  92011",(760) 918-0988,none,none
National Junior Basketball League,"721 E Ball Rd Ste 101,  Anaheim,  CA  92805",(714) 765-6567,http://njbl.org,braptis@njbl.org
Gameday Sportswear,,(626) 236-7322,none,none
O'bannon Basketball Enterprise,"7300 Alondra Blvd,  Paramount,  CA  90723",(562) 531-0231,none,none
Swish International Inc,"325 Crows Nest Dr,  Boulder Creek,  CA  95006",(831) 338-4647,none,none
Phenom Camp,"26563 Rhone Ct,  Moreno Valley,  CA  92555",(951) 247-9669,http://phenomamerica.com,none
Santa Maria Youth Basketball,"Santa Maria,  CA  93454",(805) 347-7773,none,none
Hayward Basketball,"541 Blanche St,  Hayward,  CA  94544",(510) 303-3495,http://www.haywardbasketball.com,info@haywardbasketball.com
Walnut Valley Pony,"780 Citadel Dr,  Walnut,  CA  91789",(626) 810-4815,http://www.walnutponybaseball.org,webmaster@walnutponybaseball.org
South Bay Fence Co.,"3084 Main St,  Chula Vista,  CA  91911",(619) 420-3410,http://www.southbayfence.net,lea@sbfsdcoxmail.com
Redondo Beach Youth Basketball,"1301 Inglewood Ave,  Redondo Beach,  CA  90278",(310) 798-7292,http://www.rbyb.org/LMS/league.php,sponsorship@rbyb.org
Mantra Entertainment,"453 S Wilmington Ave,  Compton,  CA  90220",(562) 215-8379,none,none
University of San Diego Basketball Offices,"San Diego,  CA  92101",(619) 260-8892,none,none
Crossover Basketball Outreach,"8978 Elk Grove Blvd,  Elk Grove,  CA  95624",(916) 686-5631,none,none
Upward Unlimited Basketball,"2238 Monte Vista Ave,  Oroville,  CA  95966",(530) 532-7526,http://oronaz.com,kenn@oronaz.org
Excell In Basketball,"Concord,  CA  94520",(925) 798-6502,none,excelcamp@gmail.com
Jaki Construction,"1733 Benedict Dr,  San Leandro,  CA  94577",(510) 357-3702,none,none
Sport Court,"San Jose,  CA  95131",(408) 938-0558,none,none
Golden Empire Construction,"8737 Gregory Way,  Beverly Hills,  CA  90211",(310) 358-9316,none,none
california cleaning expertise,"3960 W Point Loma Blvd,  San Diego,  CA  92110",(619) 952-3874,http://www.californiacleaningexpertise.com,tiberiocavina90@gmail.com
Vintage Contractors,,(415) 282-1602,http://www.vintagecontractors.com,info@vintagecontractors.com
Sport Courts Socal,"21 Saint Louis Ct # 107,  Culver City,  CA  90230",(310) 838-3101,none,none
Monaghan Construction,"2705 Socorro Ln,  Carlsbad,  CA  92009",(760) 931-1973,none,none
AAA Commercial Construction Inc,"12718 Mitchell Ave,  Los Angeles,  CA  90066",(800) 588-4968,none,none
Sport Court,"110 2nd Avenue S. #B-12,  Pacheco,  CA  94553",(925) 932-4108,http://www.sportcourtnortherncalifornia.com//home,sportcourtnocal@aol.com
Court Concepts,"8038 Arjons Dr,  San Diego,  CA  92126",(619) 390-1614,none,none
Johnny's Tennis Courts,"1150A Coddingtown Ctr Ste 235,  Santa Rosa,  CA  95401",(707) 579-4113,http://www.johnnyscourtsurfacing.com,john@johnnystenniscourts.com
Match Point Tennis Courts,"14664 Rio Rancho,  San Diego,  CA  92127",(858) 756-9022,http://matchpointtenniscourts.com,petralingenbrink@gmail.com
Sequoia Surfacing & Engineering,"4173 Barnes Rd,  Santa Rosa,  CA  95403",(707) 477-3179,none,SequoiaSurfacing@gmail.com
Santa Cruz Warriors,"903 Pacific Ave,  Santa Cruz,  CA  95060",(831) 466-3200,http://www.scwteamstore.com/contact-us,pacificthaisantacruz1@gmail.com
PickUp USA Fitness,"2387 Buena Vista St,  Irwindale,  CA  91010",(626) 599-9900,http://www.pickupusafitness.com,customerservice@pickupusafitness.com
Novastar Basketball,"425 Topeka,  Irvine,  CA  92604",(714) 244-0881,http://www.novastarbasketball.com,none
California Youth Basketball,"9612 Richlyn Way,  Elk Grove,  CA  95757",(916) 391-3900,http://cybl.net,none
Start Smart Basketball,"PO Box 720181,  San Jose,  CA  95172",(408) 658-3396,http://www.startsmartbasketball.com,bhays@startsmartbasketball.com
MOJO's Gymnasium,"8830 Miramar Rd Ste C,  San Diego,  CA  92126",(781) 913-4959,none,mojosgym1@hotmail.com
World Events Sports,"501 W Weber Ave Ste 100e,  Stockton,  CA  95203",(209) 888-4904,http://worldeventssports.com,info@worldeventssports.com
Team Nikos Basketball Academy,"24286 Hillview Dr,  Laguna Niguel,  CA  92677",(949) 315-9566,http://www.teamnikos.com,none
JEM Community Center,"9930 Santa Monica Blvd,  Beverly Hills,  CA  90212",(310) 772-0000,http://www.jemcommunitycenter.com,contact@jemcenter.com
Aztec Basketball Academy,"1147 S Blackstone St,  Tulare,  CA  93274",(559) 688-8895,none,none
Beach City Sports,"Huntington Beach,  CA  92646",(949) 502-1413,http://www.bcsleague.com,none
Royal Basketball School,"22622 Vanowen St,  West hIlls,  CA  91307",(310) 744-5403,http://www.royalbasketballschool.com,info@royalbasketballschool.com
Royal Basketballschool,"5870 W Olympic Blvd,  Los Angeles,  CA  90036",(310) 744-5403,http://www.royalbasketballschool.com,info@royalbasketballschool.com
Play It Forward Athletics,"Camarillo,  CA  93010",(877) 533-5570,http://www.playitforwardathletics.org,none
Bay Beto,"1746 N Texas St,  Fairfield,  CA  94533",(707) 673-4161,none,none
California Player Development Academy,"Dublin,  CA  94568",(925) 895-2339,none,none
Victoria Park,"419 E 192nd St,  Carson,  CA  90746",(310) 217-8370,http://parks.lacounty.gov,none
CAVS Youth Basketball,"15981 Yarnell St,  Sylmar,  CA  91342",(818) 403-8400,http://www.cavsyouthbasketball.blogspot.com,cavsworld411@gmail.com
L A Clippers Training Center,"6951 S Centinela Ave,  Playa Vista,  CA  90094",(310) 862-6000,http://www.nba.com/clippers,groupevents@clippers.com
Picks From the Pros,"Woodland Hills,  CA  91365",(970) 557-4257,none,picksfromthepros@gmail.com
North Bay Basketball Academy,"161 San Carlos Way,  Novato,  CA  94945",(415) 244-3863,https://www.northbaybasketball.com,rick@northbaybasketballacademy.com
San Diego Neighborhood Basketball Program,"8575 New Salem St.,  San Diego,  CA  92126",(619) 922-2951,http://sdnbp.com,bball@sdnbp.com
Dream Crushers Athletics,"15150 Lasselle St,  Moreno Valley,  CA  92551",(951) 570-9668,none,dreamcrushers11@hotmail.com
Hub City Gym Rats Basketball,"11335 Chadwell St,  Lakewood,  CA  90715",(562) 860-3040,none,none
Gray Fox Officiating,"Anaheim,  CA  92805",(408) 472-1355,http://www.grayfoxrefs.com,grayfox40@gmail.com
California Youth Basketball,"6550 W 80th St,  Los Angeles,  CA  90045",(323) 245-7172,http://www.any1hungry.com,none
Antonias Gifts Sports Apparel,"Po Box 1945,  West Covina,  CA  91793",(626) 209-9452,none,none
Highlight Video Productions,,(760) 801-2656,http://highlightvideoproductions.com,drewbeard@gmail.com
Monstars Athletics - All Sport and Applied Basketball Training Classes,"888 Lantana St,  Camarillo,  CA  93010",(805) 801-8236,none,none
California Youth Basketball League,"9141 E Stockton Blvd # 250-219,  Elk Grove,  CA  95624",(916) 391-3900,none,director@cybhoops.com
Bakersfield Jam Education Foundation,"1400 Norris Rd,  Bakersfield,  CA  93308",(661) 679-7932,http://www.nba.com,natalya@bakersfieldjam.com
DVDHoops,"1685 Country Club Dr,  Redlands,  CA  92373",(951) 318-2471,none,none
hoops101myway,"17714 lysander dr,  carson,  CA  90746",(310) 951-8283,http://www.hoops101myway.com,none
Mental Champions,"65 W Yale Loop,  Irvine,  CA  92604",(949) 677-9071,none,none
MGB Girls Basketball League,"24642 Jeronimo Rd,  Lake Forest,  CA  92630",(949) 395-4409,http://www.mgbleague.com,none
"Game-On Basketball, LLC","9930 Santa Monica Blvd,  Beverly Hills,  CA  90212",(818) 744-4131,http://www.gameonbball.com,gameonbball@yahoo.com
Genesis Hoops,"19510 Van Buren Blvd,  Riverside,  CA  92508",(951) 977-3770,http://www.genesishoops.com,none
John Olive Basketball Camp,"3710 Del Mar Heights Rd,  San Diego,  CA  92130",(760) 634-5644,http://johnolivebasketballcamp.com,admin@johnolivebasketballcamp.com
Academy Of Hoops,"2348 Zanja Dr Suite A100,  Mentone,  CA  92359",(909) 333-7102,http://www.academyofhoops.com,stephen@academyofhoops.com
The Coaches Court,"1 Port St,  Laguna Niguel,  CA  92677",(949) 922-7101,none,rwalters949@gmail.com
O.C. Basketball Fundamentals Training,,(951) 733-0668,none,rhall1969@yahoo.com
Project Hoop It Up,"3602 Fieldview Ct,  Pleasanton,  CA  94588",(925) 209-7863,http://projecthoopitup.weebly.com,none
Fryer Basketball Academy,"2361 Campus Dr Ste 101,  Irvine,  CA  92612",(949) 697-4103,http://www.fryerbasketballacademy.com,jeff@fryerbasketballacademy.com
Inland Roundball Officials,"6300 Plum Ave,  Corona,  CA  92880",(951) 427-1320,none,none
Yorba Linda Basketball League,,(714) 777-3553,none,none
3 On 3 Redding,"3300 Bridger Dr,  Redding,  CA  96002",(530) 406-9027,http://www.elevatecamps.org,info@elevatecamps.org
Cal Stars Basketball,"1 Northwood Dr,  Orinda,  CA  94563",(925) 317-3910,http://www.calstars.org,ksopak@comcast.net
Any 1 Hungry Basketball Academy,"6550 W 80th St,  Los Angeles,  CA  90045",(323) 245-7172,http://www.any1hungry.com,none
Los Angeles Basketball League,"15260 Ventura Blvd,  Sherman Oaks,  CA  91403",(818) 288-6979,http://www.labasketball-league.com,info@labasketball-league.com
Holistic Hoops Basketball Program,"1226 25th St Apt B,  Santa Monica,  CA  90404",(310) 266-4150,none,none
Fast Break Youth Basketball,"7690 Archibald Ave,  Rancho Cucamonga,  CA  91730",(909) 276-5258,http://www.fastbreakyouthbasketball.com,fastbreakyouthbasketball@gmail.com
Hoop Stars,"2496 Applegate Ave,  Clovis,  CA  93611",(559) 228-9445,none,none
Reise Up Basketball,"11546 wyandotte st,  north hollywood,  CA  91605",(818) 821-5629,http://riseupbasketball.com,brock@riseupbasketball.com
"Open Gym, LLC.","1500 S Anaheim Blvd,  Anaheim,  CA  92805",(714) 478-2439,http://www.opengymoc.com,info@opengymoc.com
Golden State Warriors,,(415) 654-5069,none,none
Santa Cruz Warriors,"140 Front St,  Santa Cruz,  CA  95060",(831) 466-9002,none,none
Playmakers Basketball,"24825 Newhall Ave,  Newhall,  CA  91321",,http://www.playmakersbasketball.net,none
L. A. Lakers,"555 N Nash St,  El Segundo,  CA  90245",(310) 426-6000,none,none
Deup Inc,"1320 Carob Way,  Montebello,  CA  90640",(323) 721-1701,none,none
GAME-ON BASKETBALL ACADEMY & LEAGUE,"West Hills,  CA  91307",(818) 744-4131,http://www.gameonbball.com,gameonbball@yahoo.com
DVDHoops,"1658 Country Club Dr,  Redlands,  CA  92373",(909) 793-6984,none,none
State Farm Sopak,"1 Northwood Dr,  Orinda,  CA  94563",(925) 317-3910,none,none
Hoopsland Usa,"1100 Garden Hwy,  Yuba City,  CA  95991",(530) 777-3907,none,none
JEM Center Synagogue,"9930 South Santa Monica Blvd.,  Beverly Hills,  CA  90212",(310) 772-0000,http://www.jemcenter.com,bracha@jemcenter.com
Royal Basketball School,"7432 Reseda Blvd,  Los Angeles,  CA  91335",(310) 744-5403,http://royalbasketballschool.com,marketing@royalbasketballschool.com
Home Court,"851 Gray Ave,  Yuba City,  CA  95991",(530) 763-4283,none,none
Level Up Sports Academy,"2120 Olivera Ct,  Concord,  CA  94520",(415) 286-5606,https://levelupsportsacademy.org,billflitter@gmail.com
Desert Sport Center,"38895 El Desierto Rd Ste A,  Palm Desert,  CA  92211",(760) 772-5175,http://www.desert-sports.com,none
B Ballers Hoop School,"520 W 38th St,  Long Beach,  CA  90806",(562) 304-9867,http://www.bballershoops.com,bballershoops@gmail.com
Team Nikos,"2 Terrace Rd,  Ladera Ranch,  CA  92694",(949) 365-1212,http://www.laderasportscenter.com,none
Rebelz Basketball,"2320 Timberwood,  Irvine,  CA  92620",(949) 292-9143,none,none
Syp's Touch Shooting,"11327 Folsom Blvd,  Rancho Cordova,  CA  95742",(916) 718-3929,http://www.touchshooting.com,none
Mindset 1-2-3,"234 N Timmy Ave,  Clovis,  CA  93612",(951) 442-6393,none,none
Got Game Basketball,"13175 Fountain Park Dr Apt A115,  Playa vista,  CA  90094",(323) 252-3472,none,none
Royal Basketball School,"24300 Western Ave,  Harbor City,  CA  90710",(310) 744-5403,http://www.royalbasketballschool.com,none
City Sports Club,"3100 San Pablo Ave,  Berkeley,  CA  94702",(510) 201-5576,https://www.citysportsfitness.com/Pages/presclubhome.aspx?clubid=1166&Berkeley-California+GYM,jillg@fitnessintl.com
San Diego Basketball.com,"SERVING San Diego,  Santee,  CA  92071",(858) 829-8007,none,rob@sandiegobasketball.com
Shoot 360 Inc,"2076 Artesia Blvd,  Torrance,  CA  90504",(424) 292-3157,http://shoot360.com,none
Napa Sports Association,"2371 Pine St,  Napa,  CA  94559",(707) 637-4668,http://napasportsassociation.com,mike@napasportsassociation.com
Socal Heat Basketball,"305 E Arrow Hwy,  Pomona,  CA  91767",(909) 270-8206,http://socalheatbasketball.com,none
Mercadel Basketball,"29961 Santa Margarita Pkwy,  Rancho Santa Margarita,  CA  92688",(949) 264-9398,http://mercadelbasketball.com,mercadelbasketball@yahoo.com
Northern California Basketball Organization,"704 S Spring St Ste 807,  Los Angeles,  CA  90014",(707) 302-8210,none,none
Bay City Basketball,"2242 Polk St,  San Francisco,  CA  94109",(415) 796-3966,http://www.baycitybasketball.com,none
California Sea Kings,"326 Reservation Rd,  Marina,  CA  93933",(831) 717-4625,none,none
Pro Skills Sports Academy,"8491 W Sunset Blvd,  West Hollywood,  CA  90069",(424) 270-4011,none,none
Universal Basketball Academy,"8357 Sausalito Ave,  Canoga Park,  CA  91304",(818) 912-2458,http://www.universalbasketballacademy.com,none
East Bay Soldiers Youth Basketball,"535 Appian Way,  El Sobrante,  CA  94803",(510) 409-7144,http://www.eastbaysoldiers.org,postmaster@eastbaysoldiers.org
"BBSB, ""Brandon Beeson's School of Basketball""","26895 Aliso Creek Rd,  Aliso Viejo,  CA  92656",(949) 698-2950,http://www.bbsbteam.com,bbsb42team@gmail.com
High Five America,"14636 Poway Mesa Dr,  Poway,  CA  92064",(858) 254-9368,http://www.highfiveamerica.org,none
Sixth Man Basketball Academy,"777 Mill St,  San Luis Obispo,  CA  93401",(646) 592-7205,http://timsixthman.com,none
